house_name,LNG,LAT,price,streetAddress,postcode,house_type,ZCTA,nearest_3theaters_index,most_common_cuisine,num_rests_within_500m,nearest_5rests_index,distance_from_subway,nearest_subway
Lease for Takeover,-73.949028,40.690145,"$1,850",640 Lafayette Avenue,11216,Apartment,11216,"[74, 112, 1]",latin_american,4,"[57, 857, 609, 54, 485]",135.99781539056093,Myrtle-Willoughby Avs
huge 2 bed plus office prime bushwick !!!,-73.928222,40.698436,"$2,350",115 Suydam,11221,Apartment,11221,"[74, 6, 112]",mexican,42,"[1475, 717, 23, 747, 212]",93.45135065432831,Central Av
NO FEE! Beautiful 1Bed/1Bath in Prime Prospect Lefferts Gardens!,-73.959618,40.661033,"$2,095",lincoln road,11225,Apartment,11225,"[112, 24, 60]",pizza,5,"[1074, 444, 1274, 883, 542]",273.26056442305776,Parkside Av
"Brand New Beautiful 3 Bed 1 Bath with Laundry in Building! B,Q,2,5",-73.958791,40.661131,"$2,895",lincoln road,11225,Apartment,11225,"[112, 24, 60]",pizza,6,"[1074, 444, 1274, 883, 542]",287.5138113198475,Botanic Garden
APARTAMENTO TOTALMENT RENOVADO,-73.9211,40.6784,"$1,550",,11233,Apartment,11233,"[74, 6, 112]",chinese,7,"[131, 1446, 671, 578, 431]",37.25554466825802,Ralph Av
2BR BASEMENT APT EVERYTHING INCLUDED BRAND NEW!!!!,-73.94347,40.617385,"$1,500",Avenue N,11210,Apartment,11210,"[74, 112, 1]",,0,"[393, 142, 618, 609, 357]",664.0485834526353,Flatbush Av-Brooklyn College
European charm. Awesome location.,-73.9345,40.7446,"$2,300",,11101,Apartment,11101,"[74, 6, 62]",steak_house,2,"[1417, 1123, 392, 324, 516]",320.32082715305495,39 Av-Dutch Kills
近地鐵Sunnyside nice 1bed apt or 2beds no living room for rent,-73.9216,40.7436,"$1,800",43st,11104,Apartment,11104,"[6, 74, 62]",colombian,10,"[1397, 1396, 1285, 337, 735]",268.704754413707,40 St-Lowery St
洗衣烘乾機 Flushing 2bed 2bath apt for rent,-73.8241,40.7667,"$2,200",142st,11354,Apartment,11354,"[6, 74, 62]",chicken,30,"[1053, 1018, 556, 970, 661]",695.0871684310122,Flushing-Main St
Apartment for rent,-73.9563,40.7095,$2,,11211,Apartment,11211,"[112, 74, 1]",latin_american,7,"[1196, 1238, 225, 1105, 366]",165.76171558993417,Marcy Av
NO FEE 2.5BR PLUS EXTRA ROOM FOR OFFICE,-73.941463,40.6772,"$2,450",Pacific Street,11213,Apartment,11213,"[74, 112, 1]",american,3,"[1014, 440, 1306, 803, 609]",107.38083378568922,Kingston-Throop Avs
Crown Heights 3BR $2300 Walk To Trains,-73.933553,40.672515,"$2,300",Schenectady Avenue,11213,Apartment,11213,"[74, 6, 112]",,0,"[1284, 1306, 741, 803, 524]",130.43202774279106,Crown Hts-Utica Av
FLATLANDS NO FEE 3BR WITH 2 FULL BATH,-73.919543,40.631471,"$2,700",Flatlands,11236,Apartment,11203,"[74, 6, 112]",,0,"[431, 142, 393, 131, 60]",990.3394337131468,Saratoga Av
look !!!!! large Flex 2 bedroom prime Gramercy no fee  and more no fee,-73.9781,40.7443,"$3,000",,10016,Apartment,10016,"[34, 48, 25]",american,24,"[1041, 567, 758, 389, 420]",268.38077223008673,Grand Central-42 St
Simply breath-taking! Beautifully designed 1 BR/1 BA - just for you,-73.902845,40.936044,"$1,829",20 Water Grant St,10702,Apartment,10471,"[6, 74, 62]",,0,"[529, 925, 198, 414, 259]",1518.7706293854133,Van Cortlandt Park-242 St
"@ Renovated 2bed/1bath Apt w/i ""HEAT"" incld. + Pets o.k. @",-73.804862,40.73494,"$1,700",164th St,11365,Apartment,11365,"[6, 74, 62]",pizza,1,"[919, 86, 825, 67, 180]",866.0683129400916,Parsons Blvd
Washington Heights *Large 1BR - Elevator / New Bathroom / No Fee,-73.9393,40.8416,"$1,650",,10032,Apartment,10032,"[6, 74, 62]",japanese,14,"[341, 681, 1062, 528, 591]",39.7085956479355,168 St
NO FEE!! Under-priced Rent Stabilized 3 bedroom**!,-73.96217,40.675203,"$2,900",Park Pl,11238,Apartment,11238,"[112, 24, 60]",mexican,14,"[1078, 1249, 307, 495, 883]",264.3385470914212,Eastern Pkwy-Brooklyn Museum
*No Fee* Gorgeous HUGE 1 Bed 1 Bath in <3 of Sunnyside* Pet Friendl,-73.949854,40.715439,$2300.00,47-09 SKILLMAN AVE.,11211,Apartment,11211,"[74, 112, 1]",italian,12,"[272, 469, 957, 782, 767]",63.09444607341305,Lorimer St
No Fee & 1 Month Free* Renovated 1 Bed Apt in Astoria Near N &,-73.92594,40.7636,$1955.00,31-49 29TH ST.,11106,Apartment,11106,"[6, 74, 62]",italian,12,"[691, 862, 532, 750, 324]",72.87530085137013,Broadway
No Fee & 2 Months Free* Renovated 2 Bed <3 of Astoria *Near N &,-73.92571,40.7692,$2158.00,23-15 30TH AVE.,11102,Apartment,11102,"[6, 74, 62]",italian,9,"[862, 532, 691, 750, 121]",228.32463095186762,Broadway
No Fee* Renovated Sunny 1 Bed 1 Bath Near N & W Train in Astoria,-73.92544,40.76566,$1814.00,25-21 31ST AVE.,11102,Apartment,11102,"[6, 74, 62]",italian,11,"[691, 862, 532, 750, 121]",118.46930887098071,Broadway
No Fee & 1 Month Free* Renovated JR 1 Bedroom Near N & W Train,-73.92544,40.76566,$1660.00,25-21 31ST AVE.,11102,Apartment,11102,"[6, 74, 62]",italian,11,"[691, 862, 532, 750, 121]",118.46930887098071,Broadway
🚫 NO FEE 🚫 2BR Apt in Park Slope with WASHER DRYER by Barclays,-73.9828,40.6669,"$3,000",,11215,Apartment,11215,"[58, 60, 24]",italian,50,"[1302, 571, 796, 592, 547]",278.1018624730769,7 Av
*No Fee & 2 Months Free*  2 Bedroom in <3 of ASTORIA,-73.90671,40.77371,$2206.00,21-80 38TH ST.,11105,Apartment,11105,"[6, 74, 62]",greek,2,"[1300, 1199, 1245, 13, 112]",593.410561684219,Astoria-Ditmars Blvd
BEAUTIFUL NEWLY RENOVATED ONE BEDROOM APARTMENT IN MIDDLE VILLAGE,-73.8792,40.7173,"$1,850",,11379,Apartment,11379,"[6, 74, 62]",,0,"[520, 1480, 170, 811, 733]",647.2103920525298,Grand Av-Newtown
NO FEE $2200 3BR Park Slope South /Greenwood Industry City Sunset Park,-73.997429,40.661036,"$2,200",24th Street,11232,Apartment,11232,"[61, 107, 58]",mexican,4,"[987, 959, 992, 182, 14]",76.17258581666769,25 St
"NEW MIDSIZE TWO BED..2,3,4,5,B,Q TRAIN..RENOVATD ..ELEVATR..GRAND ARMY",-73.966742,40.67459,"$2,200",Underhill Ave,11238,Apartment,11238,"[24, 60, 75]",mexican,9,"[40, 1213, 696, 495, 307]",275.07280275391935,Eastern Pkwy-Brooklyn Museum
No fee!!- Beautifully updated!  H/W included- By the J/M/L lines,-73.9563,40.7095,"$2,625",,11211,Apartment,11211,"[112, 74, 1]",latin_american,7,"[1196, 1238, 225, 1105, 366]",165.76171558993417,Marcy Av
"NeW MIDSIZE TWO BED..S,C,2,3,4,5,B,Q TRAIN..RENOVATD.. ELEVATR..VIEW..",-73.958459,40.675403,"$1,950",Prospect pl,11238,Apartment,11238,"[112, 1, 24]",mexican,9,"[883, 542, 1330, 1078, 568]",94.85066432699588,Park Pl
NEW HUGE LOFTY 2 BED.. ELEVATOR..NEAR PRATT..G TRAIN..RENOVATED,-73.959811,40.692369,"$2,650",Taafe  pl,11205,Apartment,11205,"[112, 1, 74]",mexican,8,"[1380, 1307, 1463, 568, 206]",111.20569355134855,Classon Av
NEW LaRGE LOFTY STUDIO .. ELEVATOR..NEAR PRATT..G TRAIN..RENOVATED,-73.958759,40.691916,"$1,600",Kent Ave,11205,Apartment,11205,"[112, 1, 74]",mexican,6,"[1380, 1307, 1463, 568, 883]",173.18325631303057,Classon Av
NO FEE $2200 3BR Park Slope South /Greenwood Industry City Sunset Park,-73.997429,40.661036,"$2,200",24th Street,11232,Apartment,11232,"[61, 107, 58]",mexican,4,"[987, 959, 992, 182, 14]",76.17258581666769,25 St
@ 2Fl 4bed/1bath Apt + Subway (E/ F/ M/ R) nearby @,-73.874361,40.74016,"$2,200",50th Ave,11373,Apartment,11373,"[6, 74, 62]",american,1,"[66, 419, 408, 170, 73]",332.7298189259947,Grand Av-Newtown
"@ 2Fl spacious 1bed/1bath Apt w/i ""almost All Utilities"" incld. @",-73.889016,40.735231,"$1,500",51st Dr,11373,Apartment,11373,"[6, 74, 62]",thai,3,"[684, 1152, 1273, 733, 811]",436.65445519938476,Jackson Hts-Roosevelt Av
"@ Renovated 2bed/1bath Apt w/i ""almost All Utilities"" incld. @",-73.749706,40.753758,"$1,450",57th Rd,11364,Apartment,11364,"[6, 74, 62]",,0,"[20, 887, 530, 635, 281]",4002.4679003314345,Jamaica-179 St
No fee!-Totally Redone DUPLEX Loft!-High ceilings!- By the waterfront!,-73.9563,40.7095,"$2,475",,11211,Apartment,11211,"[112, 74, 1]",latin_american,7,"[1196, 1238, 225, 1105, 366]",165.76171558993417,Marcy Av
C-PICTURES _2BR-KING SIZE at HEART OF BROADWAY-36ST,-73.921337,40.760293,"$2,100",BROADWAY,11103,Apartment,11106,"[6, 74, 62]",italian,14,"[436, 1477, 121, 1374, 750]",124.34305372096291,Steinway St
"ASTORIA  2BR $1,975  LARGE & SUNLIGHT @30th Ave-33street",-73.919778,40.766152,"$1,975",30th Avenue,11102,Apartment,11102,"[6, 74, 62]",italian,11,"[1096, 125, 1477, 436, 121]",190.12572058267577,30 Av
LIVE IN A NEW DELUXE  1BR \ WASHER-DRYER BROADWAY-38ST,-73.919835,40.759448,"$1,900",BROADWAY,11103,Apartment,11106,"[6, 74, 62]",italian,12,"[1477, 436, 1096, 121, 125]",128.0106503444183,Steinway St
3 BEDROOM APARTMENT AVAILABLE! CALL LANDLORD! a516a457a7304,-73.9211,40.6784,"$2,350",Sackman,11233,Apartment,11233,"[74, 6, 112]",chinese,7,"[131, 1446, 671, 578, 431]",37.25554466825802,Ralph Av
NEW 1BR  PET=OK _MANHATTAN VIEW 3Oth Ave-34th Street,-73.918986,40.765771,"$1,675",30th Avenue,11103,Apartment,11102,"[6, 74, 62]",italian,9,"[1096, 125, 1477, 436, 219]",187.7618506797978,Astoria Blvd
No fee!- Redone LOFT Building- DUPLEX layout- Williamsburg Waterfront!,-73.9563,40.7095,"$2,795",,11211,Apartment,11211,"[112, 74, 1]",latin_american,7,"[1196, 1238, 225, 1105, 366]",165.76171558993417,Marcy Av
Classic Pre-war 1 Br* Prime Astoria* Elevator *Cats Ok,-73.926,40.771,"$1,680",34th Street,11102,Apartment,11102,"[6, 74, 62]",juice,7,"[862, 532, 1426, 691, 750]",287.87953496883966,Broadway
EXPOSED BRICK 1BR LOFT $165O by NYSPORTS CLUB GYM 3OAVE-38ST,-73.915737,40.764389,"$1,650",30th Avenue,11103,Apartment,11103,"[6, 74, 62]",sushi,9,"[219, 1096, 1263, 13, 100]",295.8455967510187,Astoria Blvd
CORNER 1BR DOG=OK  30th Ave-33st  Rent Stabilized Building,-73.919778,40.766152,"$1,750",30th Avenue,11102,Apartment,11102,"[6, 74, 62]",italian,11,"[1096, 125, 1477, 436, 121]",190.12572058267577,30 Av
No fee- 1 in a kind Triplex loft!- Unconventional Look- Near J/M/L,-73.9436,40.7012,"$2,795",,11206,Apartment,11206,"[74, 112, 6]",coffee,8,"[807, 808, 50, 97, 266]",276.6113239444516,Flushing Av
NO FEE!! Modern 2 bed/2 bath with stunning view in South Slope!,-73.9828,40.6669,"$3,695",,11215,Apartment,11215,"[58, 60, 24]",italian,50,"[1302, 571, 796, 592, 547]",278.1018624730769,7 Av
"Renovated 2 bedroom, 1 bath, original hard wood floors",-73.9573,40.7278,"$2,500",81 calyer street,11222,Apartment,11222,"[74, 112, 1]",italian,5,"[1012, 1238, 1423, 366, 1105]",326.029321621816,Bedford Av
Luxury Building 1 BR / 1 BATH Now Offering 2 Months Free,-73.9498,40.7272,"$2,350",Box Street,11222,Apartment,11222,"[74, 112, 1]",italian,10,"[962, 767, 1002, 790, 272]",182.18350585416079,Nassau Av
"Amazing Corner 1 Bedroom, 42nd Floor, View of East and Hudson Rivers",-73.9967,40.7484,"$5,200",31st st,10116,Apartment,10001,"[96, 98, 108]",american,42,"[1215, 988, 785, 1044, 895]",167.56914726324464,23 St
Spacious 1 bed apt,-73.928182,40.819177,$950,555 Walton Ave,10451,Apartment,10451,"[6, 74, 62]",pan-asian,1,"[262, 1010, 541, 537, 497]",95.64441887309665,149 St-Grand Concourse
Spacious 3 BD / 2 BATH Now Offering 1 Month Free!!,-73.939297,40.701024,"$2,800",Fayette Street,11206,Apartment,11206,"[74, 6, 112]",american,8,"[266, 937, 837, 803, 741]",204.72888984634184,Flushing Av
Luxury 1 BR/1 BATH Now Offering 2 Months Free,-73.958292,40.679831,"$2,100",Atlantic Avenue,11238,Apartment,11238,"[112, 1, 74]",mexican,9,"[542, 883, 1330, 568, 485]",167.47209184172613,Franklin Av
Sundrenched 1 BR/1 BTH With Spacious Living Room and Bedroom!,-73.960006,40.688881,"$2,291",Lafayette Avenue,11205,Apartment,11238,"[112, 1, 24]",mexican,9,"[1380, 1463, 1307, 568, 206]",7.120718682049962,Classon Av
"BROWNSTONE 2 BED DUPLEX W/ PRIVATE GARDEN & LAUNDRY: $3600, NO FEE",-73.97835,40.682705,"$3,600",dean st,11217,Apartment,11217,"[24, 60, 58]",brunch,43,"[1057, 955, 143, 721, 688]",59.04319256364667,Atlantic Av-Barclays Ctr
"One bedroom, Bushwick Ave",-73.894,40.6705,"$2,300",,11207,Apartment,11207,"[74, 6, 62]",american,2,"[1468, 683, 757, 16, 381]",206.47980686393262,Pennsylvania Av
SPECTUCULAR CITY VIEW=TOP FLOOR==GREAT LIGHTING==OAK WOOD FLOOR==,-74.0163,40.7105,"$2,590",,10045,Apartment,10280,"[35, 110, 93]",american,6,"[166, 946, 187, 286, 47]",294.4444718899969,Rector St
**Fabulous Under-Price 1.5 bedroom in the heart of Prospect Heights!**,-73.963673,40.676814,"$2,000",Washington ave,11238,Apartment,11238,"[112, 24, 60]",mexican,14,"[1403, 495, 307, 1249, 1078]",167.56152361736332,Eastern Pkwy-Brooklyn Museum
***BRAND NEW**MEGA JR 1 BR/ALC STU**1 BA**24DM**GYM**RF-DECK***W/D*GAM,-73.997821,40.7615,"$2,100",West 43rd Street,10036,Apartment,10036,"[20, 96, 94]",american,21,"[1129, 311, 482, 1038, 749]",478.63366555071923,23 St
**LIVE LIKE THE WOLF OF WALL STREET***STUDIO 1 BA**24HR DM**ELVTR**LAU,-74.010676,40.707116,"$1,800",Wall Street,10005,Apartment,10005,"[61, 35, 73]",thai,27,"[1141, 1478, 1205, 704, 367]",46.579739054598,Broad St
no broker fee!! LARGE RENOVATED STUDIO** LUXURY 24HR DM BUILDING**GYM*,-73.9781,40.7443,"$1,995",5th ave,10016,Apartment,10016,"[34, 48, 25]",american,24,"[1041, 567, 758, 389, 420]",268.38077223008673,Grand Central-42 St
**LUXURY**UES***3 BR 2 BA**24HR DM**ELVTR**SUNDECK**FREE GYM**POOL**ST,-73.947584,40.783571,"$2,850",E 95th St,10128,Apartment,10128,"[74, 6, 62]",thai,56,"[461, 943, 296, 905, 615]",53.24499071639508,96 St
***LUX**MUST SEE**2BR 1BA**24HR DM**GYM**ROOF-DECK**POOL**STEPS TO EXP,-73.947584,40.783571,"$2,200",E 95th St,10128,Apartment,10128,"[74, 6, 62]",thai,56,"[461, 943, 296, 905, 615]",53.24499071639508,96 St
Renovated 2BR on 44th Street near 7 subway!,-73.920779,40.742217,"$1,900",44th Street,11104,Apartment,11104,"[6, 74, 62]",colombian,10,"[1397, 1396, 1285, 39, 337]",262.1600241001128,46 St-Bliss St
Renovated Winged-2BR in Chinatown!,-73.997719,40.715357,"$1,700",Bayard Street,10090,Apartment,10013,"[55, 105, 72]",chinese,80,"[653, 1177, 294, 954, 646]",222.35440654135147,Spring St
3 bedroom for rent****ALL UTILITIES INCLUDED**,-73.8716,40.8295,"$2,300",,10472,Apartment,10472,"[6, 74, 62]",,0,"[412, 184, 945, 309, 65]",324.24505482752187,Morrison Av-Soundview
1 bedroom for rent ***1550***,-73.8602,40.8434,"$1,550",,10462,Apartment,10462,"[6, 74, 62]",american,1,"[184, 1295, 536, 21, 412]",321.84756588983294,Parkchester
Cozy 2 bedroom Marble Hill west 227th street,-73.9067,40.8798,"$1,900",,10463,Apartment,10463,"[6, 74, 62]",greek,1,"[529, 198, 414, 259, 169]",209.52026656493987,231 St
3 bedroom with LIGHT AND GAS INCLUDED,-73.8716,40.8295,"$2,300",,10472,Apartment,10472,"[6, 74, 62]",,0,"[412, 184, 945, 309, 65]",324.24505482752187,Morrison Av-Soundview
***1 bedroom for rent***,-73.8602,40.8434,"$1,650",,10462,Apartment,10462,"[6, 74, 62]",american,1,"[184, 1295, 536, 21, 412]",321.84756588983294,Parkchester
NO FEE **BEAUTIFUL 3 QUEEN SIZE BD/2 FULL BATHS**APT IN BUSHWICK,-73.911637,40.685796,"$2,383",bushwick,11233,Apartment,11207,"[74, 6, 112]",chinese,36,"[192, 274, 60, 34, 72]",158.89564383056074,Chauncey St
2 br apt in Hudson/Washington Heights,-73.939638,40.850188,"$2,310",Pinehurst Ave,10033,Apartment,10033,"[6, 74, 62]",japanese,13,"[1156, 1266, 528, 681, 1062]",86.35374253628198,175 St
HUNTERS POINT.Long Island City,-73.955004,40.743014,"$3,300",50th Ave.,11109,Apartment,11101,"[74, 112, 1]",burger,7,"[255, 116, 824, 659, 3]",158.67911272081926,Vernon Blvd-Jackson Av
"One BR, QUEENS PLAZA, Long Island City",-73.937151,40.751025,"$1,800",,11101,Apartment,11101,"[74, 6, 62]",mexican,3,"[1123, 516, 1417, 478, 197]",63.95654766866961,Queens Plaza
QUEENS PLAZA/2br/ Long Island City,-73.93683,40.750846,"$2,350",,11101,Apartment,11101,"[74, 6, 62]",mexican,3,"[1123, 1417, 516, 478, 197]",73.6870038013745,Queens Plaza
"No Fee - Amazing 2 Bedroom, 1 Bath Home For Rent",-73.981354,40.722771,"$2,700",East 4th Street,10002,Apartment,10009,"[24, 60, 75]",chinese,28,"[968, 402, 300, 26, 397]",252.89847024186963,1 Av
Bright Spacious 2 Bedroom in 30th ave Astoria!,-73.918986,40.765771,"$2,199",34th st,11103,Apartment,11102,"[6, 74, 62]",italian,9,"[1096, 125, 1477, 436, 219]",187.7618506797978,Astoria Blvd
Beautiful Bright Spacious 2 Bedroom!,-73.932002,40.760407,"$2,499",24th street,11106,Apartment,11106,"[74, 6, 62]",brazilian,4,"[478, 392, 1123, 324, 121]",246.2578893787482,39 Av-Dutch Kills
Beautiful Spacious Furnished 2 Bedroom!,-73.92538,40.76197,"$1,999",31st,11106,Apartment,11106,"[6, 74, 62]",italian,13,"[691, 1132, 750, 862, 532]",14.963468772151053,Broadway
Bright Spacious 2 Bedroom in 30th ave Astoria!,-73.918986,40.765771,"$2,299",34th st,11103,Apartment,11102,"[6, 74, 62]",italian,9,"[1096, 125, 1477, 436, 219]",187.7618506797978,Astoria Blvd
NO FEE STUDIO APT Columbia Univ 5min,-73.954966,40.810064,"$1,575",West 123 Street,10027,Apartment,10027,"[6, 74, 62]",japanese,5,"[1092, 1275, 1103, 507, 330]",153.30718018124892,116 St
Guarantee Best Price Manhattan STUDIO APT You Will Not Find Cheaper,-73.951853,40.82451,"$1,375",West 142 Street,10031,Apartment,10031,"[6, 62, 74]",japanese,3,"[493, 1092, 83, 330, 53]",177.47444973417717,145 St
"BEAUTIFUL RENOVATED TRUE 4BR APT! DISHWASHER! MICROWAVE! TRAINS 1,A,C!",-73.933804,40.850063,"$2,400",west 182 st,10040,Apartment,10033,"[6, 74, 62]",american,10,"[720, 801, 1286, 537, 497]",28.80602330999842,181 St
$1800 Bright Spacious 1 Bedroom in Ditmars Blvd!,-73.913072,40.777803,"$1,799",27th street,11105,Apartment,11105,"[6, 74, 62]",greek,8,"[100, 112, 1301, 1199, 13]",143.4951134924674,Astoria-Ditmars Blvd
Bright Spacious 1 Bedroom in 30th ave Astoria!,-73.918986,40.765771,"$1,799",34th st,11103,Apartment,11102,"[6, 74, 62]",italian,9,"[1096, 125, 1477, 436, 219]",187.7618506797978,Astoria Blvd
$1699 Bright Spacious 1 Bedroom in Woodside!,-73.89886,40.748801,"$1,699",64th street,11377,Apartment,11372,"[6, 74, 62]",Nepali,4,"[1150, 1077, 676, 850, 654]",52.57995222102585,65 St
Priced Below Market---Luxury Studio---Must See Won't Last!,-73.955487,40.74588,"$2,100",,11109,Apartment,11101,"[74, 112, 1]",burger,7,"[255, 1201, 116, 824, 659]",234.34886186587704,Vernon Blvd-Jackson Av
Apartment by the beach,-73.8428,40.5766,"$2,900",Ocean Grande at Beach 116th,11694,Apartment,11694,"[74, 6, 62]",,0,"[1315, 973, 1109, 480, 932]",812.4817917773495,Rockaway Park-Beach 116 St
Newly renovated gem of an apartment with private backyard and patio.,-73.940076,40.709102,"$3,000",Scholes St,11211,Apartment,11206,"[74, 6, 112]",american,5,"[266, 937, 807, 837, 808]",48.88216304911993,Montrose Av
No Fee Columbia Med. TRUE 2 bed with ELEV/LAUNDRY,-73.942366,40.844788,"$2,195",,10032,Apartment,10032,"[6, 74, 62]",barbecue,6,"[341, 1156, 1266, 681, 1062]",280.35133449461813,168 St-Washington Hts
Prime w70s Garden 1BR Apartment! Laundry DW- NO FEE,-73.9827,40.7764,"$2,495",,10023,Apartment,10023,"[7, 97, 12]",diner,21,"[229, 918, 1264, 1137, 85]",102.74634354652183,72 St
"Huge, bright, no-fee studio!",-73.984133,40.696015,"$1,850",Duffield,11256,Apartment,11201,"[58, 60, 24]",mexican,25,"[510, 600, 487, 93, 205]",197.23098555635275,Hoyt St
Confortable and Spacious apt •• great location-near train E&F••,-73.8111,40.7029,"$1,725",,11435,Apartment,11435,"[6, 74, 62]",,0,"[500, 29, 86, 138, 67]",90.54723520144557,Sutphin Blvd
"BEAUTIFUL RENOVATED TRUE 4BR APT! DISHWASHER! MICROWAVE! TRAINS 1,A,C!",-73.933804,40.850063,"$2,400",west 182 st,10040,Apartment,10033,"[6, 74, 62]",american,10,"[720, 801, 1286, 537, 497]",28.80602330999842,181 St
LARGE 1&½ Bedroom NO FEE!,-73.913376,40.761262,"$2,200",43 street,11103,Apartment,11103,"[6, 74, 62]",sushi,9,"[13, 1263, 219, 100, 112]",152.5897807134603,46 St
LARGE 2 Bedroom NO FEE!,-73.913569,40.761171,"$2,300",43 Street,11103,Apartment,11103,"[6, 74, 62]",sushi,9,"[13, 1263, 219, 100, 112]",151.99268727682497,46 St
HOUSE+2BDRM1BATH+1FLIGHTUP+HEATHOTWATERGAS+ELECTRICRDY2GOCLICKWOWPRIME,-73.9475,40.6011,"$2,000",east 27th,11229,Apartment,11229,"[112, 24, 60]",,0,"[618, 884, 817, 393, 357]",859.2233408703219,Sheepshead Bay
Spacious 2 bdrm near beautiful Hamilton Park,-74.0469,40.7221,"$2,300","475 Monmouth Street, Apt # 2",7302,Apartment,10282,"[42, 93, 110]",,0,"[946, 1026, 1003, 166, 505]",3670.699296793315,86 St
♥Prime Location ♥ Beautiful Studio ♥ W/D ♥ A/C Train.,-73.949647,40.678963,"$1,695",Herkimer,11216,Apartment,11216,"[74, 112, 1]",caribbean,6,"[609, 857, 57, 485, 54]",97.7720840039088,Nostrand Av
♥Prime Location ♥ Beautiful 2Bd Duplex♥ W/D ♥ Private Back Yard,-73.924245,40.678287,"$2,600",Herkimer,11233,Apartment,11233,"[74, 6, 112]",chinese,6,"[431, 524, 131, 404, 424]",384.97592661750133,Ralph Av
♥Beautiful 1 Bedroom♥Great Location♥Queen Size Bedroom♥ Rooftop #9,-73.93448,40.697153,"$2,170",Myrtle,11221,Apartment,11206,"[74, 6, 112]",american,13,"[741, 803, 701, 473, 717]",130.886976176026,Myrtle Av
🌼Beautiful 2Bd+Office Space 🌼 Prime Location 🌼 W/D🌼 #8,-73.946818,40.679485,"$2,360",Herkimer,11216,Apartment,11216,"[74, 112, 1]",caribbean,6,"[609, 857, 440, 57, 485]",402.25981892411284,Nostrand Av
🌼Beautiful 1Bd 🌼 Prime Location 🌼 Central A/C🌼 W/D🌼Back Yard #2,-73.955476,40.674894,"$2,300",Franklin Ave,11238,Apartment,11216,"[112, 1, 74]",japanese,4,"[1330, 542, 485, 883, 609]",179.52883508306635,Franklin Av
NO FEE!! 3 bedroom 2 bathroom with washer/dryer in unit and backyard!!,-73.918,40.7006,"$2,700",,11237,Apartment,11237,"[74, 6, 62]",mexican,43,"[806, 607, 979, 700, 25]",109.61551288903297,DeKalb Av
Beautiful West Village Alcove Studio 1 block from water,-74.008634,40.732643,"$2,800",Christopher St,10014,Apartment,10014,"[110, 93, 35]",american,34,"[1412, 1440, 1398, 768, 71]",387.3925102687008,Houston St
NO FEE!!  Truly amazing spacious 3 Br!!,-73.902678,40.710483,"$2,300",60th place,11237,Apartment,11385,"[74, 6, 62]",pizza,86,"[650, 1052, 183, 492, 471]",192.0291183386817,Forest Av
Spacious Studio with yard access!!,-73.927049,40.699159,"$1,300",Central Ave,11221,Apartment,11221,"[74, 6, 112]",mexican,50,"[949, 1294, 747, 977, 717]",55.71321926399919,Central Av
Great location spacious 1 bedroom no fee,-73.9644,40.679,"$2,150",,11238,Apartment,11238,"[112, 24, 60]",mexican,15,"[495, 1403, 696, 307, 206]",206.66815848311202,Clinton-Washington Avs
2 bed with private roof terrace no fee great location,-73.960595,40.682162,"$2,350",fulton st,11238,Apartment,11238,"[112, 1, 24]",mexican,17,"[1463, 568, 1078, 883, 206]",214.2901103686113,Classon Av
3br 1bath apt,-73.6554,40.604,"$2,750",,11558,Apartment,11422,"[6, 74, 62]",japanese,2,"[1204, 82, 244, 941, 780]",11120.048640184737,Far Rockaway-Mott Av
***NO FEE New Rochelle Beautiful Renovated 1 Bedrm Apt***,-73.781,40.9002,"$1,895",Franklin Ave,10805,Apartment,10464,"[6, 74, 62]",italian,1,"[891, 209, 625, 76, 305]",5444.775056870017,Pelham Bay Park
NO FEE! LARGE 1BR ~Dman ~NEWLY RENOVATED ~GREAT CLOSETS,-73.9511,40.7816,$2600.00,,10128,Apartment,10128,"[74, 6, 62]",italian,74,"[290, 705, 963, 224, 669]",125.22064117045872,96 St
Garden Apartment,-73.9274,40.6907,"$1,750",,11221,Apartment,11221,"[74, 6, 112]",mexican,36,"[524, 1475, 1284, 977, 717]",177.01908285121436,Kosciuszko St
"Spacious 3 bedroom apartment in Garfield, NJ - minutes from NYC",-74.1081,40.8789,"$2,000",62 Maitland Place,7026,Apartment,10069,"[42, 93, 110]",,0,"[924, 435, 1172, 737, 601]",8127.2157696562035,St George
2 BEDROOM - HIGH END RENOVATION  - STEPS FROM TRANSPORTATION,-73.9216,40.7436,"$2,400",,11104,Apartment,11104,"[6, 74, 62]",colombian,10,"[1397, 1396, 1285, 337, 735]",268.704754413707,40 St-Lowery St
"Studio, 1, 2, 3, 4, 5 BR  *** NEW and CLEAN ***",-74.011343,40.650282,"$1,395",45th Street,11232,Apartment,11220,"[61, 87, 73]",mexican,1,"[1395, 1104, 726, 1336, 580]",154.25365393485257,45 St
THIS IS A GORGEOUS 1&1/2 BDRM APARTMENT WITH A WASHER &DRYER,-73.9666,40.6924,"$2,500",Washington Avenue,11205,Apartment,11205,"[112, 24, 60]",indian,6,"[1230, 1213, 696, 40, 206]",135.03838363647776,Clinton-Washington Avs
**BEAUTY IN THE HEART OF CHELSEA**  **STUDIO W/WASHER/DRYER**,-74.0022,40.746258,$2075.00,415 W 22 ST.,10011,Apartment,10011,"[9, 80, 11]",italian,41,"[1090, 359, 1091, 975, 447]",173.92021061818258,14 St
